NBHD_NAME,TTL_POPULATION_ALL,house_pricing,recording,MEDIAN_EARNINGS,BACHELORS_OR_HIGHER_EDU,MEDIAN_AGE_ALL,TTL_HOUSEHOLDS,PCT_POVERTY
Athmar Park,8659,"$3,886",1196,"$26,902.50",831,32.45,2937,17.45
Auraria,825,"$4,521",910,"$4,878.00",58,19.6,59,8.4
Baker,5799,"$3,703",2252,"$35,316.00",2184,34,2624,26
Barnum,6593,"$4,532",1056,"$22,380.00",292,30.1,1960,32.9
Barnum West,5860,"$3,853",514,"$27,616.00",427,33.4,1725,27.5
Bear Valley,9246,"$3,692",444,"$36,596.00",1700,39.15,3681,9.7
Belcaro,4728,"$2,486",446,"$72,554.00",2944,45.3,2264,3.1
Berkeley,8564,"$5,371",772,"$47,419.50",3646,38.85,4244,9.35
Capitol Hill,15704,"$5,500",2750,"$33,466.33",8300,31.5,10717,15.77
CBD,4049,"$3,950",3371,"$51,615.00",1815,31.9,2495,21
Chaffee Park,4045,"$4,628",420,"$34,114.00",723,36.2,1531,10.3
Cheesman Park,8545,"$4,230",1278,"$36,611.00",5308,39.85,5226,13.5
Cherry Creek,6267,"$4,090",1015,"$75,383.00",3844,49,4032,9.9
City Park,3195,"$4,855",359,"$40,000.00",1852,34.6,1672,12.7
City Park West,4583,"$4,930",970,"$36,715.50",2131,33.35,2536,24.75
Civic Center,1769,"$4,187",1667,"$55,163.00",1035,42.5,1251,13.5
Clayton,4250,"$4,144",544,"$23,257.00",693,32.9,1518,24.8
Cole,4600,"$4,801",726,"$27,931.00",838,32.9,1678,24.7
College View - South Platte,7124,"$4,736",1099,"$22,725.00",293,30.6,2219,44.8
Congress Park,11240,"$3,143",839,"$43,998.67",6656,34.4,5911,10.87
Cory - Merrill,4718,"$4,822",480,"$49,583.00",2510,36.2,1855,7.4
Country Club,3187,"$5,436",209,"$65,081.00",2012,44.5,1362,2.8
DIA,1231,"$6,049",969,"$32,159.00",193,30.5,529,18.7
East Colfax,11256,"$2,110",2015,"$27,581.00",1970,31.45,4196,34.65
Elyria Swansea,6676,"$4,198",1298,"$22,650.00",355,27,1736,31.2
Five Points,14768,"$3,498",4436,"$42,419.33",6435,33.93,7344,23.57
Fort Logan,8777,"$4,499",344,"$34,473.00",2004,42.4,3214,11.7
Gateway - Green Valley Ranch,34957,"$2,594",1376,"$35,344.50",4510,31.5,10474,7.8
Globeville,3551,"$2,131",1166,"$22,006.00",374,30.3,1071,34.6
Goldsmith,5262,"$3,832",606,"$26,377.00",1171,33.9,2662,18.4
Hale,6768,"$2,486",573,"$45,048.50",3236,38.25,4023,10
Hampden,18866,"$4,661",1286,"$34,098.75",6642,39.48,9325,11.1
Hampden South,14838,"$2,540",1423,"$42,761.67",6370,42.37,7381,5.1
Harvey Park,12706,"$2,476",834,"$28,499.00",1353,31.55,4173,21.55
Harvey Park South,8846,"$3,649",604,"$28,761.50",1182,37.45,3095,13.75
Highland,8991,"$3,584",1382,"$44,675.50",4132,32.85,4560,14.95
